DATE,POPTHM
1990/3/1,249146
1990/4/1,249436
1990/5/1,249707
1990/6/1,249990
1990/7/1,250285
1990/8/1,250595
1990/9/1,250904
1990/10/1,251201
1990/11/1,251486
1990/12/1,251758
1991/1/1,252012
1991/2/1,252253
1991/3/1,252507
1991/4/1,252778
1991/5/1,253060
1991/6/1,253350
1991/7/1,253650
1991/8/1,253966
1991/9/1,254280
1991/10/1,254576
1991/11/1,254841
1991/12/1,255089
1992/1/1,255331
1992/2/1,255576
1992/3/1,255848
1992/4/1,256139
1992/5/1,256437
1992/6/1,256742
1992/7/1,257063
1992/8/1,257390
1992/9/1,257704
1992/10/1,258004
1992/11/1,258280
1992/12/1,258546
1993/1/1,258799
1993/2/1,259036
1993/3/1,259283
1993/4/1,259547
1993/5/1,259822
1993/6/1,260109
1993/7/1,260411
1993/8/1,260717
1993/9/1,261015
1993/10/1,261294
1993/11/1,261550
1993/12/1,261796
1994/1/1,262021
1994/2/1,262237
1994/3/1,262491
1994/4/1,262754
1994/5/1,263014
1994/6/1,263294
1994/7/1,263580
1994/8/1,263871
1994/9/1,264159
1994/10/1,264430
1994/11/1,264681
1994/12/1,264924
1995/1/1,265157
1995/2/1,265383
1995/3/1,265625
1995/4/1,265877
1995/5/1,266134
1995/6/1,266414
1995/7/1,266700
1995/8/1,266998
1995/9/1,267304
1995/10/1,267585
1995/11/1,267829
1995/12/1,268047
1996/1/1,268258
1996/2/1,268480
1996/3/1,268724
1996/4/1,268980
1996/5/1,269247
1996/6/1,269527
1996/7/1,269822
1996/8/1,270130
1996/9/1,270433
1996/10/1,270730
1996/11/1,271002
1996/12/1,271243
1997/1/1,271472
1997/2/1,271703
1997/3/1,271952
1997/4/1,272213
1997/5/1,272482
1997/6/1,272767
1997/7/1,273074
1997/8/1,273395
1997/9/1,273703
1997/10/1,273989
1997/11/1,274249
1997/12/1,274499
1998/1/1,274732
1998/2/1,274943
1998/3/1,275175
1998/4/1,275434
1998/5/1,275700
1998/6/1,275976
1998/7/1,276266
1998/8/1,276566
1998/9/1,276859
1998/10/1,277140
1998/11/1,277402
1998/12/1,277658
1999/1/1,277891
1999/2/1,278095
1999/3/1,278324
1999/4/1,278584
1999/5/1,278859
1999/6/1,279148
1999/7/1,279448
1999/8/1,279752
1999/9/1,280053
1999/10/1,280337
1999/11/1,280594
1999/12/1,280846
2000/1/1,281083
2000/2/1,281299
2000/3/1,281531
2000/4/1,281763
2000/5/1,281996
2000/6/1,282247
2000/7/1,282504
2000/8/1,282769
2000/9/1,283033
2000/10/1,283285
2000/11/1,283523
2000/12/1,283748
2001/1/1,283960
2001/2/1,284166
2001/3/1,284380
2001/4/1,284602
2001/5/1,284834
2001/6/1,285076
2001/7/1,285324
2001/8/1,285584
2001/9/1,285842
2001/10/1,286086
2001/11/1,286315
2001/12/1,286533
2002/1/1,286739
2002/2/1,286935
2002/3/1,287131
2002/4/1,287343
2002/5/1,287571
2002/6/1,287808
2002/7/1,288051
2002/8/1,288303
2002/9/1,288554
2002/10/1,288794
2002/11/1,289012
2002/12/1,289214
2003/1/1,289412
2003/2/1,289606
2003/3/1,289809
2003/4/1,290024
2003/5/1,290250
2003/6/1,290484
2003/7/1,290726
2003/8/1,290974
2003/9/1,291222
2003/10/1,291463
2003/11/1,291677
2003/12/1,291868
2004/1/1,292046
2004/2/1,292230
2004/3/1,292434
2004/4/1,292651
2004/5/1,292872
2004/6/1,293103
2004/7/1,293350
2004/8/1,293603
2004/9/1,293857
2004/10/1,294104
2004/11/1,294337
2004/12/1,294561
2005/1/1,294768
2005/2/1,294955
2005/3/1,295149
2005/4/1,295359
2005/5/1,295582
2005/6/1,295824
2005/7/1,296077
2005/8/1,296338
2005/9/1,296606
2005/10/1,296857
2005/11/1,297089
2005/12/1,297311
2006/1/1,297526
2006/2/1,297734
2006/3/1,297950
2006/4/1,298170
2006/5/1,298401
2006/6/1,298653
2006/7/1,298910
2006/8/1,299178
2006/9/1,299452
2006/10/1,299710
2006/11/1,299950
2006/12/1,300178
2007/1/1,300398
2007/2/1,300608
2007/3/1,300823
2007/4/1,301045
2007/5/1,301278
2007/6/1,301528
2007/7/1,301790
2007/8/1,302064
2007/9/1,302334
2007/10/1,302590
2007/11/1,302834
2007/12/1,303062
2008/1/1,303280
2008/2/1,303494
2008/3/1,303707
2008/4/1,303926
2008/5/1,304157
2008/6/1,304396
2008/7/1,304646
2008/8/1,304903
2008/9/1,305158
2008/10/1,305403
2008/11/1,305620
2008/12/1,305827
2009/1/1,306035
2009/2/1,306237
2009/3/1,306438
2009/4/1,306645
2009/5/1,306863
2009/6/1,307090
2009/7/1,307322
2009/8/1,307570
2009/9/1,307826
2009/10/1,308071
2009/11/1,308289
2009/12/1,308495
2010/1/1,308706
2010/2/1,308904
2010/3/1,309095
2010/4/1,309279
